id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram
ml,Michelle Leonard ,1,5,1,NA,2,NA,42,2780
ni,Nisse Ingwersen,1,5,2,NA,1,NA,33295,14300
ts,Thomas Stengaard,1,5,2,NA,1,NA,268,1915
ep,Eduard Prosek ,1,5,2,NA,1,NA,-1,NA
nk,Nikolai Potthoff ,1,5,2,NA,1,NA,-1,NA
bdd,Brianna Diannie Drain,1,5,1,NA,1,NA,724745,NA
idl,Ilse DeLang ,1,5,1,NA,1,NA,598395,189000
mi,Molly Irvine,1,5,1,NA,1,NA,-1,NA
ia,Imram Abbas ,1,5,2,NA,1,NA,-1,12700
jw,Joe Walter ,1,5,2,NA,1,NA,14,10600
er,Emma Rosen,1,5,1,NA,1,NA,34,20900
nw,Nico Witter,1,5,2,NA,1,NA,-1,NA
jl,Jonny Lattimer ,1,5,2,NA,1,NA,-1,NA
cjg,Christopher John Hutchings,1,5,2,NA,1,NA,1744837,NA
kp,Karin Park,1,5,1,NA,1,NA,29583,6338
es,Emelie Sederholm,1,5,1,NA,1,NA,-1,NA
jwka,Jonas W. Karlsson,1,5,2,NA,1,NA,-1,11900
pr,Pascal Reinhardt,1,5,2,NA,1,NA,719,4523
sdlt,Sofi de la Toree,1,5,1,NA,1,NA,118855,21000
kemt,Katie Elizabeth Marie Taylor,1,5,1,NA,1,NA,-1,NA
luc,Lucry,1,5,2,NA,3,NA,6,39500
shp,Shelly Phillips,1,5,1,NA,1,NA,357,3892
sue,Suena,1,5,1,NA,2,NA,2019,15100
meg,Megaloh,1,5,2,NA,2,NA,222637,61000
tr,Tobias Röger ,1,5,2,NA,1,NA,-1,573
mam,Matthias Metten,1,5,2,NA,1,NA,-1,NA
de,Dennis Emmel,1,5,2,NA,1,NA,1,280
az,Alexander Zuckowski ,1,5,2,NA,1,NA,396,NA
maf,Martin Fliegenschmidt ,1,5,2,NA,1,NA,6,257
jus,Julian Schwitzler ,1,5,2,NA,1,NA,-1,NA
motr,MoTrip,1,5,2,NA,4,NA,11000000,219000
nis,Niko Stegmiller,1,5,2,NA,1,NA,-1,NA
sb,Steven Bashir,1,5,2,NA,1,NA,65,NA
ak,Alex Knolle,1,5,2,NA,1,NA,-1,NA
cl,Christopher Lass,1,5,2,NA,1,NA,5575,3499
jv,Jonathan Vom Dahl,1,5,2,NA,1,NA,6802,7139
kus,Kurt Stolle,1,5,2,NA,1,NA,-1,695
sev,Severin von Sydow,1,5,2,NA,1,NA,1502,4498
beb,Benjamin Burbulla,1,5,2,NA,1,NA,91,3135
mih,Mirjam Hildenbrand,1,5,1,NA,1,NA,-1,NA
st,Samuel Tiede,1,5,2,NA,1,NA,-1,618
josc,Jonas Schumann,1,5,2,NA,1,NA,-1,NA
mc,Martina Cloos,1,5,1,NA,1,NA,-1,NA
ph,Peter Hoffmann,1,5,2,NA,1,NA,26724,NA
obr,OBros,1,5,2,NA,1,NA,163386,88900
adm,Adina Mitchell,1,5,1,NA,1,NA,632,5773
bebb,Benedikt Behnke,1,5,2,NA,1,NA,-1,40000
pj,Paul Jacobi,1,5,2,NA,1,NA,7041,2588
ros,Roland Streicher,1,5,2,NA,1,NA,-1,569
ll,Lukas Linder,1,5,2,NA,1,NA,36063,16400
tok,Toni Kraus,1,5,2,NA,1,NA,7099,8052
mal,Matthias Lange,1,5,2,NA,1,NA,-1,NA
jos,Johann Seifert,1,5,2,NA,1,NA,-1,2089
mis,mishka,1,5,2,NA,1,NA,215346,10800
ad,Arian Dominiak,1,5,2,NA,1,NA,-1,383
is,ISAAK,1,5,2,NA,2,NA,464983,23600
kok,Kai Oliver Krug,1,5,2,NA,1,NA,-1,NA
pl,Patrick Liegl,1,5,2,NA,1,NA,12715,NA
wc,Will Czuch,1,5,2,NA,1,NA,12,NA
gc,Graham Candy,1,5,2,NA,2,NA,1033036,10200
lp,Lili Pistorius,1,5,1,NA,1,NA,37809,55600
ub,Unknown Brain,1,5,3,NA,1,NA,1800386,24100
rf,Romy Flores,1,5,1,NA,1,NA,-1,NA
kr,Kyle Reynolds,1,5,2,NA,1,NA,303066,NA
gg,Giovanni Giusti,1,5,2,NA,1,NA,-1,NA
ej,Eddie Jonsson,1,5,2,NA,1,NA,-1,NA
sth,Steffen Haussteiner,1,5,2,NA,1,NA,-1,3073
jat,Jakob Teepe,1,5,2,NA,1,NA,-1,NA
cm,Claudio Maselli,1,5,2,NA,1,NA,-1,NA
sae,Samuel Eigensatz,1,5,2,NA,1,NA,-1,NA
ag,Alex Genas,1,5,2,NA,1,NA,-1,NA
or,ORISONO,2,5,3,NA,1,NA,-1,1262
chg,Chris Geissler,1,5,2,NA,1,NA,-1,NA
ig,Ivan Geisser,1,5,2,NA,1,NA,-1,NA
dl,Danielle Lamb,1,5,1,NA,1,NA,17,NA
too,Tom Oehler,1,5,2,NA,1,NA,-1,NA
bbs,Benjamin BNJI Schmid,1,5,2,NA,1,NA,-1,NA
bm,Borislav Milanov,1,5,2,NA,1,NA,-1,524
com,Connor Martin,1,5,2,NA,1,NA,-1,NA
