id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
die,DIEgital record,2,2,0,0,0,0,0,0
cher,CHE!Records,2,2,0,0,0,0,0,0
sky,skytonemusic,2,2,0,0,0,0,0,0
bbm,BAM BAM MUSIC,2,2,0,0,0,0,0,0
nm,Nachklang Music,2,2,0,0,0,0,0,33800
bud,Budde Music Publishing,2,2,0,0,0,0,0,6332
goo,Good Luck Kid,2,2,0,0,0,0,0,1179
grs,GRS Music,2,2,0,0,0,0,0,0
glo,Global Rockstar GmbH,2,2,0,0,0,0,0,5430
neu,Neubau Music Publishing,2,2,0,0,0,0,0,3463
pee,peermusic,2,2,0,0,0,0,0,10600
sou,Sound Village ,2,2,0,0,0,0,0,2619
eas,Easthaven Records,2,2,0,0,0,0,0,927
ret,Retrofuturemusic,2,2,0,0,0,0,0,2221
sat,Satellite Music LLC,2,2,0,0,0,0,0,0
ctm,CTM Publishing ,2,2,0,0,0,0,0,0
kob,Kobalt Music Publishing ,2,2,0,0,0,0,0,52300
res,Reservoir Media Music ,2,2,0,0,0,0,0,0
fer,Ferryhouse Productions ,2,2,0,0,0,0,0,0
ene,Energie/WM Germany ,2,2,0,0,0,0,0,0
gre,Greywood Records,2,2,0,0,0,0,0,2895
kni,Knightvision,2,2,0,0,0,0,0,912
vom,Vomit Records,2,2,0,0,0,0,0,698
dra,Drakkar Entertainment,2,2,0,0,0,0,0,1023
men,Menges Music,2,2,0,0,0,0,0,0
jaz,Jazzhaus Records,2,2,0,0,0,0,0,1128
migm,MiG Music,2,2,0,0,0,0,0,0
csr,Chimera State Records,2,2,0,0,0,0,0,0
pop,pop-out Musik,2,2,0,0,0,0,0,572
con,Concord Music Publishing ANZ,2,2,0,0,0,0,0,12500
frt,FRTYFVE,2,2,0,0,0,0,0,3872
reco,1603988 Records DK,2,2,0,0,0,0,0,0
domi,Dominance Records,2,2,0,0,0,0,0,0
sono,sonokraft,2,2,0,0,0,0,0,318
thir,Thirty 8 Records,2,2,0,0,0,0,0,153
doit,Do It Records,2,2,0,0,0,0,0,0
brow,Brownmamaslimmusic,2,2,0,0,0,0,0,0
gold,Golden Chocolate Records,2,2,0,0,0,0,0,389
noxe,NO-X Entertainment,2,2,0,0,0,0,0,2027
musi,MusicMakingPeople,2,2,0,0,0,0,0,0
thek,The Voice Kids,2,2,0,1,0,0,0,582000
thev,The Voice of Germany,2,3,0,1,0,0,0,574000
gira,Giraffenaffen ,2,3,0,1,0,0,377698,1571
euro,Eurovision Song Contest,2,3,0,1,0,0,0,13000000
them,The Masked Singer,2,3,0,1,0,0,0,329000
prom,Promiboxen,2,3,0,2,0,0,0,2478
germ,Germanys Next Topmodel,2,3,0,2,0,0,0,933000
schl,Schlag den Raab,2,3,0,2,0,0,0,0
prbb,Promi Big Brother,2,3,0,2,0,0,0,261000
escv,ESC Vorentscheid,2,3,0,1,0,0,0,0
