id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
fs,Friedrich Steinke,1,5,2,99,1,99,55263,9328
tin,TINA - Das Tina Turner Musical,2,3,99,3,99,99,1,9540
alz,Alex Zind,1,5,2,99,1,99,53050,12300
jub,Julia Bergen,1,5,1,99,1,99,48449,117000
pee,peermusic,2,2,99,99,99,99,1,10600
che,Chima Ede,1,5,2,99,1,99,48169,12300
dn,Daniel Nitt,1,5,2,99,1,99,41307,4141
lp,Lili Pistorius,1,5,1,99,1,99,37809,55600
ll,Lukas Linder,1,5,2,99,1,99,36063,16400
bett,Bettys Diagnose,2,3,99,3,99,99,1,11400
ni,Nisse Ingwersen,1,5,2,99,1,99,33295,14300
kjm,Kjetil Morland,1,5,2,99,1,99,30055,8459
stc,Stuart Crichton,1,5,2,99,1,99,29846,1
kp,Karin Park,1,5,1,99,1,99,29583,6338
scv,SCVN,1,5,2,99,1,99,28186,1
rp,Reed Pittman,1,5,2,99,1,99,27907,2350
ph,Peter Hoffmann,1,5,2,99,1,99,26724,1
con,Concord Music Publishing ANZ,2,2,99,99,99,99,1,12500
imc,igroove.music ,2,2,99,99,99,99,1,12700
seh,Sebastian Horn,1,5,2,99,1,99,23406,1
lat,Lawrence Taylor,1,5,2,99,1,99,22391,3966
bo,B-OK,1,5,2,99,1,99,21096,2094
tij,Tim James,1,5,2,99,1,99,17601,1
rab ,Ray Bryan,1,5,2,99,1,99,16008,15300
monra,Monrath,1,5,2,99,1,99,14931,1200
gel,Gellero,1,5,2,99,1,99,14050,2568
mok,Moritz Kochs,1,5,2,99,1,99,13634,5448
pl,Patrick Liegl,1,5,2,99,1,99,12715,1
soko,SOKO Stuttgart,2,3,99,3,99,99,1,16700
cl,Christopher Lass,1,5,2,99,1,99,5575,3499
jet,Jermaine Theodore,1,5,2,99,1,99,4932,25500
mdru,MDR um 4,2,3,99,3,99,99,1,18400
df,Daniel Flamm ,1,5,2,99,1,99,2857,1014
star,Starmania,2,3,99,1,99,99,1,20500
sue,Suena,1,5,1,99,2,99,2019,15100
aba,Abaz,1,5,2,99,1,99,1247,44200
pr,Pascal Reinhardt,1,5,2,99,1,99,719,4523
phs,Phil Speiser,1,5,2,99,1,99,596,45300
ts,Thomas Stengaard,1,5,2,99,1,99,268,1915
jk,Jules Kalmbacher,1,5,1,99,1,99,161,2439
dkdl,Der König der Löwen,2,3,99,3,99,99,1,33600
nm,Nachklang Music,2,2,99,99,99,99,1,33800
beb,Benjamin Burbulla,1,5,2,99,1,99,91,3135
ls,Lillo Scrimali,1,5,2,99,1,99,62,1819
ml,Michelle Leonard ,1,5,1,99,2,99,42,2780
er,Emma Rosen,1,5,1,99,1,99,34,20900
lh,Luis Hascher,1,5,2,99,1,99,24,18900
wmg,WM Germany,2,2,99,99,99,99,1,48100
bri,Brix Buchmann,1,5,2,99,1,99,22,3248
kw,Kim Wennerström,1,5,1,99,1,99,17,1
son,Sony Music,2,2,99,99,99,99,1,51500
kob,Kobalt Music Publishing ,2,2,99,99,99,99,1,52300
pps,Patrick Pyke Salmy,1,5,2,99,1,99,17,3533
jw,Joe Walter ,1,5,2,99,1,99,14,10600
sg,Steffen Graef,1,5,2,99,1,99,6,8874
luc,Lucry,1,5,2,99,3,99,6,39500
pol,Polydor ,2,2,99,99,99,99,1,92900
vss,Verstehen Sie Spaß? ,2,3,99,2,99,99,1,115000
ah,Andreas Herbig,1,5,2,99,1,99,1,1
km,Katharina Müller,1,5,1,99,1,99,1,1
enf,Enforce Records,2,2,99,99,99,99,1,122000
too,Tom Oehler,1,5,2,99,1,99,1,1
skyc,Stefanie Kloß und Yvonne Catterfeld,1,4,1,99,99,99,1,1
se,Staffel 1,2,6,99,99,99,99,1,1
sz,Staffel 2,2,6,99,99,99,99,1,1
shrg,Samu Haber und Rea Garvey,1,4,2,99,99,99,1,1
sd,Staffel 3,2,6,99,99,99,99,1,1
sv,Staffel 4,2,6,99,99,99,99,1,1
sf,Staffel 5,2,6,99,99,99,99,1,1
